Município,UF,SoloId,Cultura,Ciclo,cad,2/1/2019
Município,UF,SoloId,Cultura,Ciclo,cad,2/1/2019
Rio Rufino,SC,3,Soja,Grupo I,51.2,
Rio Rufino,SC,1,Soja,Grupo II,28.8,
Rio Rufino,SC,2,Soja,Grupo II,40.0,
Rio Rufino,SC,3,Soja,Grupo II,51.2,
Rio Rufino,SC,1,Soja,Grupo III,51.2,
Rio Rufino,SC,2,Soja,Grupo III,40.0,
Rio Rufino,SC,3,Soja,Grupo III,51.2,
Santa Helena,SC,1,Soja,Grupo I,28.8,
Santa Helena,SC,2,Soja,Grupo I,40.0,
Santa Helena,SC,3,Soja,Grupo I,51.2,
Santa Helena,SC,1,Soja,Grupo II,28.8,
Santa Helena,SC,2,Soja,Grupo II,40.0,
Santa Helena,SC,3,Soja,Grupo II,51.2,
Santa Helena,SC,1,Soja,Grupo III,51.2,
Santa Helena,SC,2,Soja,Grupo III,40.0,
Santa Helena,SC,3,Soja,Grupo III,51.2,
Santa Terezinha,SC,1,Soja,Grupo I,28.8,
Santa Terezinha,SC,2,Soja,Grupo I,40.0,
Santa Terezinha,SC,3,Soja,Grupo I,51.2,
Santa Terezinha,SC,1,Soja,Grupo II,28.8,
Santa Terezinha,SC,2,Soja,Grupo II,40.0,
Santa Terezinha,SC,3,Soja,Grupo II,51.2,
Santa Terezinha,SC,1,Soja,Grupo III,51.2,
Santa Terezinha,SC,2,Soja,Grupo III,40.0,
Santa Terezinha,SC,3,Soja,Grupo III,51.2,
Sangão,SC,1,Soja,Grupo I,28.8,
Sangão,SC,2,Soja,Grupo I,40.0,
Sangão,SC,3,Soja,Grupo I,51.2,
Sangão,SC,1,Soja,Grupo II,28.8,
Sangão,SC,2,Soja,Grupo II,40.0,
Sangão,SC,3,Soja,Grupo II,51.2,
Sangão,SC,1,Soja,Grupo III,51.2,
Sangão,SC,2,Soja,Grupo III,40.0,
Sangão,SC,3,Soja,Grupo III,51.2,
São Cristovão Do Sul,SC,1,Soja,Grupo I,28.8,
São Cristovão Do Sul,SC,2,Soja,Grupo I,40.0,
São Cristovão Do Sul,SC,3,Soja,Grupo I,51.2,
São Cristovão Do Sul,SC,1,Soja,Grupo II,28.8,
São Cristovão Do Sul,SC,2,Soja,Grupo II,40.0,
São Cristovão Do Sul,SC,3,Soja,Grupo II,51.2,
São Cristovão Do Sul,SC,1,Soja,Grupo III,51.2,
São Cristovão Do Sul,SC,2,Soja,Grupo III,40.0,
São Cristovão Do Sul,SC,3,Soja,Grupo III,51.2,
São João Do Itaperiú,SC,1,Soja,Grupo I,28.8,
São João Do Itaperiú,SC,2,Soja,Grupo I,40.0,
São João Do Itaperiú,SC,3,Soja,Grupo I,51.2,
São João Do Itaperiú,SC,1,Soja,Grupo II,28.8,
São João Do Itaperiú,SC,2,Soja,Grupo II,40.0,
São João Do Itaperiú,SC,3,Soja,Grupo II,51.2,
São João Do Itaperiú,SC,1,Soja,Grupo III,51.2,
São João Do Itaperiú,SC,2,Soja,Grupo III,40.0,
São João Do Itaperiú,SC,3,Soja,Grupo III,51.2,
São Miguel Da Boa Vista,SC,1,Soja,Grupo I,28.8,
São Miguel Da Boa Vista,SC,2,Soja,Grupo I,40.0,
São Miguel Da Boa Vista,SC,3,Soja,Grupo I,51.2,
São Miguel Da Boa Vista,SC,1,Soja,Grupo II,28.8,
São Miguel Da Boa Vista,SC,2,Soja,Grupo II,40.0,
São Miguel Da Boa Vista,SC,3,Soja,Grupo II,51.2,
São Miguel Da Boa Vista,SC,1,Soja,Grupo III,51.2,
São Miguel Da Boa Vista,SC,2,Soja,Grupo III,40.0,
São Miguel Da Boa Vista,SC,3,Soja,Grupo III,51.2,
Sul Brasil,SC,1,Soja,Grupo I,28.8,
Sul Brasil,SC,2,Soja,Grupo I,40.0,
Sul Brasil,SC,3,Soja,Grupo I,51.2,
Sul Brasil,SC,1,Soja,Grupo II,28.8,
Sul Brasil,SC,2,Soja,Grupo II,40.0,
Sul Brasil,SC,3,Soja,Grupo II,51.2,
Sul Brasil,SC,1,Soja,Grupo III,51.2,
Sul Brasil,SC,2,Soja,Grupo III,40.0,
Sul Brasil,SC,3,Soja,Grupo III,51.2,
Vargem,SC,1,Soja,Grupo I,28.8,
Vargem,SC,2,Soja,Grupo I,40.0,
Vargem,SC,3,Soja,Grupo I,51.2,
Vargem,SC,1,Soja,Grupo II,28.8,
Vargem,SC,2,Soja,Grupo II,40.0,
Vargem,SC,3,Soja,Grupo II,51.2,
Vargem,SC,1,Soja,Grupo III,51.2,
Vargem,SC,2,Soja,Grupo III,40.0,
Vargem,SC,3,Soja,Grupo III,51.2,
Vargem Bonita,SC,1,Soja,Grupo I,28.8,
Vargem Bonita,SC,2,Soja,Grupo I,40.0,
Vargem Bonita,SC,3,Soja,Grupo I,51.2,
Vargem Bonita,SC,1,Soja,Grupo II,28.8,
Vargem Bonita,SC,2,Soja,Grupo II,40.0,
