codigoStr;longitude;nome;latitude
3869117960025100001;-38.69611111;ABROLHOS (A) - BA;-17.96416667
4013102880016000001;-40.13333333;ACARAU (C) - CE;-2.88333333
4008103120076100001;-40.08694444;ACARAÚ (A) - CE;-3.12083333
5221114010432100001;-52.21222222;ÁGUA BOA (A) - MT;-14.01611111
3790109280605000001;-37.9;AGUA BRANCA (C) - AL;-9.28333333
4762115591200100001;-47.62583333;AGUAS EMENDADAS (A) - GO;-15.59638889
4143115680740100001;-41.44;ÁGUAS VERMELHAS (A) - MG;-15.69
4106119470083100001;-41.06;AIMORES (A) - MG;-19.48
4106119480082000001;-41.06666667;AIMORES (C) - MG;-19.48333333
3854112280130000001;-38.55;ALAGOINHAS (C) - BA;-12.28333333
4148120750138100001;-41.48888889;ALEGRE (A) - ES;-20.75055556
5552129710121100001;-55.52611111;ALEGRETE (A) - RS;-29.71166667
4074120630035100001;-40.74138889;ALFREDO CHAVES (A) - ES;-20.63638889
4068116280208100001;-40.68305556;ALMENARA (A) - MG;-16.28305556
5610109840289100001;-56.1;ALTA FLORESTA (A) - MT;-9.84944444
5221103210074000001;-52.21666666;ALTAMIRA (C) - PA;-3.21666666
4326122950347000001;-43.26666666;ALTO DA BOA VISTA (C) - RJ;-22.95
4752114131260100001;-47.52305556;ALTO PARAISO DE GOIAS (A) - GO;-14.13305556
4593109100285000001;-45.93333333;ALTO PARNAIBA (C) - MA;-9.1
4593109100281100001;-45.93194444;ALTO PARNAÍBA (A) - MA;-9.10805556
5328117810875100001;-53.2875;ALTO TAQUARI (A) - MT;-17.81555556
4386108440270100001;-43.86472222;ALVORADA DO GURGUÉIA (A) - PI;-8.44305556
5532123000431100001;-55.32944444;AMAMBAI (A) - MS;-23.0025
3961113000407100001;-39.61694444;AMARGOSA (A) - BA;-13.00944444
4431123010003000001;-44.31666666;ANGRA DOS REIS (C) - RJ;-23.01666666
5739109560220100001;-57.39361111;APIACAS (A) - MT;-9.56388889
3779105660150100001;-37.79653333;APODI (A) - RN;-5.66951111
3781105610150000001;-37.81666666;APODI (C) - RN;-5.61666666
5988107200168100001;-59.88888889;APUI (A) - AM;-7.20527778
5578120470155100001;-55.78388889;AQUIDAUANA (A) - MS;-20.47555556
3704110940004000001;-37.05;ARACAJU (C) - SE;-10.95
3704110950004100001;-37.05;ARACAJÚ (A) - SE;-10.95027778
4204116830289000001;-42.05;ARACUAI (C) - MG;-16.83333333
5223115890345000001;-52.23333333;ARAGARCAS (C) - GO;-15.9
5224115900347100001;-52.24388889;ARAGARÇAS (A) - GO;-15.90583333
4820107190228000001;-48.2;ARAGUAINA (C) - TO;-7.2
4820107100226100001;-48.20111111;ARAGUAÍNA (A) - TO;-7.10416667
4811105640117100001;-48.11166667;ARAGUATINS (A) - TO;-5.64361111
3661109800241100001;-36.61888889;ARAPIRACA (A) - AL;-9.80416667
4949128950012100001;-49.49135556;ARARANGUA (A) - SC;-28.95589722
4693119601023000001;-46.93333333;ARAXA (C) - MG;-19.6
4693119601020100001;-46.93333333;ARAXÁ (A) - MG;-19.6
3708108410680000001;-37.08333333;ARCOVERDE (C) - PE;-8.41666666
3704108430680100001;-37.05;ARCO VERDE (A) - PE;-8.43333333
3568106960574000001;-35.68333333;AREIA (C) - PB;-6.96666667
3568106960574100001;-35.68333333;AREIA (A) - PB;-6.96694444
3815112760010100001;-38.15;AREMBEPE (A) - BA;-12.76333333
4604115890519000001;-46.05;ARINOS (C) - MG;-15.9
6296109940140100001;-62.96194444;ARIQUEMES (A) - RO;-9.94888889
4884121130525100001;-48.84027778;ARIRANHA (A) - SP;-21.13277778
2931100900015100001;-29.31666666;ARQ.SÃO PEDRO E SÃO PAULO (A) - RN;0.9
4200122960004100001;-42.0;ARRAIAL DO CABO (A) - RJ;-22.96666667
5912103580028100001;-59.12944444;AUTAZES (A) - AM;-3.58305556
4889123080654100001;-48.89861111;AVARÉ (A) - SP;-23.08277778
4890123080854000001;-48.9;AVARÉ (C) - SP;-23.08333333
4341122350507000001;-43.41666667;AVELAR (P.DO ALFERES) (C) - RJ;-22.35
4476104210025000001;-44.76666667;BACABAL (C) - MA;-4.21666667
4479104240028100001;-44.795;BACABAL (A) - MA;-4.24305556
5409131330242000001;-54.1;BAGE (C) - RS;-31.33333333
5401131340230100001;-54.01333333;BAGÉ (A) - RS;-31.34777778
4602107450254100001;-46.0275;BALSAS (A) - MA;-7.45527778
4603107530259000001;-46.03333333;BALSAS (C) - MA;-7.53333333
4600120030661000001;-46.0;BAMBUI (C) - MG;-20.03333333
4376121251126000001;-43.76666667;BARBACENA (C) - MG;-21.25
4376121211155100001;-43.76666667;BARBACENA (A) - MG;-21.21666667
3929107310409000001;-39.3;BARBALHA (C) - CE;-7.31666667
3927107300409100001;-39.27055556;BARBALHA (A) - CE;-7.30055556
6291100960040000001;-62.91666667;BARCELOS (C) - AM;-0.96666667
6292100980017100001;-62.92416667;BARCELOS (A) - AM;-0.98777778
4316111080401000001;-43.16666667;BARRA (C) - BA;-11.08333333
4313111080403100001;-43.13916667;BARRA (A) - BA;-11.08472222
4855122330544100001;-48.5575;BARRA BONITA (A) - SP;-22.33777778
4523105500153000001;-45.23333333;BARRA DO CORDA (C) - MA;-5.5
4523105500153100001;-45.23694444;BARRA DO CORDA (A) - MA;-5.50666667
4841124960667100001;-48.41638889;BARRA DO TURVO (A) - SP;-24.96305556
4500112140439000001;-45.0;BARREIRAS (C) - BA;-12.1499996185303
4501112140470100001;-45.01666667;BARREIRAS (A) - BA;-12.15
4970122290550100001;-49.7;BAURU (A) - SP;-22.3
4843101430010000001;-48.43333333;BELEM (C) - PA;-1.43333333
4843101410024100001;-48.43833333;BELÉM (A) - PA;-1.41027778
3921116080088100001;-39.21555556;BELMONTE (A) - BA;-16.08805556
4393119930915000001;-43.93333333;BELO HORIZONTE (C) - MG;-19.93333333
4396119880869100001;-43.96666666;BELO HORIZONTE (PAMPULHA) (A) - MG;-19.88333333
5495102630175000001;-54.95;BELTERRA (C) - PA;-2.63333333
7003104380065000001;-70.03333333;BENJAMIN CONSTANT (C) - AM;-4.38333333
5151129140640000001;-51.51666666;BENTO GONCALVES (C) - RS;-29.15
5153129160640100001;-51.53472221;BENTO GONÇALVES (A) - RS;-29.16722221
4026118530100000001;-40.26666667;BOA ESPERANCA (C) - ES;-18.53333333
6065002810090000001;-60.65;BOA VISTA (C) - RR;2.81666667
6733108770111100001;-67.33222222;BOCA DO ACRE (A) - AM;-8.77666667
4536119710695000001;-45.36666666;BOM DESPACHO (C) - MG;-19.71666666
5043128661047000001;-50.43333333;BOM JESUS (C) - RS;-28.66666667
4341113260439000001;-43.41666667;BOM JESUS DA LAPA (C) - BA;-13.26666667
4318113410440100001;-43.18416667;BOM JESUS DA LAPA (A) - BA;-13.41666667
4411109100331000001;-44.11666666;BOM JESUS DO PIAUI (C) - PI;-9.1
4432109080331100001;-44.32638889;BOM JESUS DO PIAUI (A) - PI;-9.08333333
4678101070033100001;-46.78277778;BRAGANÇA (A) - PA;-1.07861111
4792115781159100001;-47.92555556;BRASILIA (A) - DF;-15.78944444
4793115781159000001;-47.93333333;BRASILIA (C) - DF;-15.78333333
3647110420010100001;-36.47016667;BREJO GRANDE (A) - SE;-10.42967222
5048101680014000001;-50.48333333;BREVES (C) - PA;-1.68333333
4133114190470100001;-41.33888889;BRUMADO (A) - BA;-14.19833333
4644104320175100001;-46.44972222;BURITICUPÚ (A) - MA;-4.32055556
4365110720502100001;-43.65111111;BURITIRAMA (A) - BA;-10.72305556
4643115520894100001;-46.43555556;BURITIS (A) - MG;-15.52416667
3628107480436100001;-36.28638889;CABACEIRAS (A) - PB;-7.48333333
3933108510341000001;-39.33333333;CABROBO (C) - PE;-8.51666666
3931108500342100001;-39.31444444;CABROBÓ (A) - PE;-8.50361111
5083126810952100001;-50.83527778;CAÇADOR (A) - SC;-26.81944444
5346130540420100001;-53.4675;CAÇAPAVA DO SUL (A) - RS;-30.54777778
5768116040118000001;-57.68333333;CACERES (C) - MT;-16.05
5769116070116100001;-57.69277777;CÁCERES (A) - MT;-16.07444443
6143111440210100001;-61.43416667;CACOAL (A) - RO;-11.44583333
